Gericht,Aktenzeichen,Datum,Art,Rechtsgrundlage,Text,Schlagwort,Urteil,pagination,pagination-href
Verwaltungsgericht Halle,2 A 14/15,14.04.2015,Urteil,Informationszugangsgesetz (Sachsen-Anhalt),"Das Finanzministerium wird zur vollständigen Offenlegung der Fahrtenbücher eines Dienstfahrzeugs verpflichtet. Auch Angaben über Privatfahrten sind Aufzeichnungen, die amtlichen Zwecken dienen. Das Recht zur privaten Nutzung der Fahrzeuge folgt unmittelbar aus dem Amtsverhältnis. Die Einsichtnahme in die Fahrtenbücher führt zudem auch nicht zu einer Beeinträchtigung der ordnungsgemäßen Aufgabenerfüllung des Ministeriums. Ein Eingriff in den Kernbereich der exekutiven Eigenverantwortung kann ebenfalls nicht festgestellt werden - die Informationen aus den Fahrtenbüchern können offensichtlich nicht zu einem ""Mitregieren Dritter"" führen. Zwar handelt es sich bei den Fahrtenbucheinträgen um personenbezogene Daten, jedoch nicht um die vom Informationszugangsgesetz geschützten Unterlagen, die mit dem Amtsverhältnis in Zusammenhang stehen (Personalakten im materiellen Sinne). Die Fahrtenbücher dienen vielmehr der Kontrolle der Sachmittel, die dem Betroffenen zur Verfügung gestellt werden. Die Interessenabwägung in Bezug auf die personenbezogenen Daten ergibt ein berechtigtes, überwiegendes Interesse der Allgemeinheit, zu erfahren, ob öffentlich finanzierte Dienstfahrzeuge missbraucht werden. Außerdem wird das Grundrecht der Pressefreiheit berücksichtigt, da der Kläger die Informationen im Rahmen seiner Tätigkeit als Redakteur begehrt.","(Gesetzliche) Geheimhaltungspflichten, Exekutiver Kernbereich (Regierungshandeln), Interessenabwägung, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/VG_Halle_2_A_15_15.pdf,3,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=40
Oberverwaltungsgericht Berlin-Brandenburg,12 N 88.13,21.04.2015,Beschluss,Informationsfreiheitsgesetz (Bund),"Das Oberverwaltungsgericht bestätigt in seiner Ablehnung des Antrags auf Zulassung der Berufung die Entscheidung der Vorinstanz, nach der sich die Bundesstiftung zur Aufarbeitung der SED-Diktatur zur Geheimhaltung von Sitzungsprotokollen des Stiftungsrats nicht auf besondere Geheimhaltungsvorschriften stützen kann. Weder das Errichtungsgesetz noch die Satzung der Stiftung enthalten eine solche Vorschrift.","(Gesetzliche) Geheimhaltungspflichten, Beratungsgeheimnis (behördlicher Entscheidungsprozess), Betriebs- und Geschäftsgeheimnisse, Internationale Beziehungen, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/OVG_BE_BB_12_N_88_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Mainz,3 K 1478/14,22.04.2015,Urteil,Informationsfreiheitsgesetz (Rheinland-Pfalz),"Das Verwaltungsgericht verneint den Anspruch gegenüber einer Stadtverwaltung auf Herausgabe von Informationen über ein Energieversorgungsunternehmen, an dem die Stadt beteiligt ist. Nach dem Landesinformationsfreiheitsgesetz besteht eine solche Informationspflicht nur, soweit die Stadt sich einer Person des Privatrechts zur Erfüllung ihrer öffentlich-rechtlichen Aufgabe bedient. Es besteht aber keine öffentlich-rechtliche Verpflichtung, als Energieversorgungsunternehmen am Markt teilzunehmen; diese Tätigkeit stellt daher nur eine öffentliche Aufgabe dar. Darüber hinaus ist die beklagte Stadt auch nicht verpflichtet, Informationen von Privaten zu beschaffen. Das Gesetz zielt vielmehr darauf ab, dem Bürger den Kenntnisstand zu vermitteln, über den auch die Behörde verfügt. Zudem besteht ein Vorrang der gesellschaftsrechtlichen Verschwiegenheitspflicht gegenüber dem Landesinformationsfreiheitsgesetz. Das gilt auch bei der Beteiligung von Kommunen an Privatunternehmen.","(Gesetzliche) Geheimhaltungspflichten, Anwendungsbereich/Zuständigkeit, Zuständigkeit",http://www.lda.brandenburg.de/media_fast/5955/VG_Mainz_3_K_1478_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Nordrhein-Westfalen,8 A 1943/13,06.05.2015,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Das Bekanntwerden von Durchwahlnummern des richterlichen Personals würde die Funktionsfähigkeit des Verwaltungsgerichts beeinträchtigen.  Die Erhaltung der aufgabengemäßen Funktionsfähigkeit umfasst auch die Verhinderung und Abwehr äußerer Störungen des Arbeitsablaufs. Der Herausgabe der Nummern steht somit ein Ausnahmetatbestand des Informationsfreiheitsgesetzes Nordrhein-Westfalen zum Schutz öffentlicher Belange entgegen. Soweit die Telefonnummern der nicht richterlichen Gerichtsangehörigen betroffen sind, ist dies nicht der Fall. Ob der Zugang am Schutz personenbezogener Daten scheitert, kann vom Oberverwaltungsgericht nicht abschließend beurteilt werden, weil eine Befragung der Betroffenen durch die Beklagte noch aussteht.  Die Einholung eines Meinungsbildes in einer Richterversammlung steht dem nicht gleich. Das Informationsfreiheitsgesetz Nordrhein-Westfalen verpflichtet zudem lediglich zur Veröffentlichung von Geschäftsverteilungsplänen, Organigrammen und Aktenplänen; Telefonlisten sind davon nicht umfasst. Im Ergebnis verpflichtet das Oberverwaltungsgericht den Präsidenten des Verwaltungsgerichts zur Neubescheidung im Hinblick auf die Nummern der nicht richterlichen Gerichtsangehörigen; in Bezug auf die Nummern des richterlichen Personals gibt es der Berufung statt.","Drittbetroffenheit, Konkurrierende Rechtsvorschriften, Personenbezogene Daten, Veröffentlichung von Informationen",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_8_A_1943_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Berlin,2 K 43.14,21.05.2015,Urteil,Informationsfreiheitsgesetz (Berlin),"Das Verwaltungsgericht weist die Klage einer Grundstückseigentümerin ab, die sich gegen die Herausgabe teilweise geschwärzter Kaufverträge über Grundstücke durch die zuständige Senatsverwaltung wandte. Für das Vorliegen eines Betriebs- und Geschäftsgeheimnisses genügt weder ein bloß subjektiv empfundener Nachteil noch ein irgendwie gearteter Nachteil, der keinen Bezug auf die grundrechtlich geschützte Teilnahme des Unternehmens am Wettbewerb hat. Vielmehr ist das Erfordernis der Wettbewerbsrelevanz der betreffenden Information dem Begriff des Betriebs- und Geschäftsgeheimnisses immanent. Die Klägerin hat aber nicht dargelegt, wie sich die Preisgabe der Informationen nachteilig auf ihre Wettbewerbssituation auswirken würde und deshalb die (abgeschlossenen) Kaufverträge in Gänze schutzbedürftig wären. Insbesondere hat sie nicht dargelegt, dass zehn Jahre altes Wissen noch als exklusives technisches oder kaufmännisches Wissen schutzwürdig ist. Auch die weiteren Angaben der Klägerin, die Verträge seien Gesamtkunstwerke, helfen nicht weiter.","Begriffsbestimmung, Betriebs- und Geschäftsgeheimnisse",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_K_43_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Nordrhein-Westfalen,8 A 2429/14,16.06.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Das Oberverwaltungsgericht bestätigt im Ergebnis die Entscheidung der Vorinstanz, nach der kein Anspruch auf Herausgabe der Diensttelefonliste eines Jobcenters besteht. Zwar ist nicht ersichtlich, weshalb für Telefonlisten etwas anderes gelten sollte als für Geschäftsverteilungspläne, deren Veröffentlichung das Informationsfreiheitsgesetz ausdrücklich vorsieht. Allerdings sieht das Oberverwaltungsgericht durch die Herausgabe der Listen die öffentliche Sicherheit gefährdet. Deren Schutzgut ist unter anderem die Funktionsfähigkeit staatlicher Einrichtungen. Ihre Erhaltung umfasst auch die Verhinderung äußerer Störungen des Arbeitsablaufs. Der entsprechende Ausschlussgrund des Gesetzes greift schon dann ein, wenn die Arbeit der Amtsträger beeinträchtigt bzw. erschwert wird. Auf den noch von der Vorinstanz als wichtigsten Ausschlussgrund geltend gemachten Schutz der personenbezogenen Daten der betroffenen Beschäftigten geht das Oberverwaltungsgericht nur insoweit ein, als es feststellt, dass der Schutz der öffentlichen Sicherheit nicht zur Disposition der Drittbetroffenen steht.","Drittbetroffenheit, Sicherheitsaspekte",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_8_A_2429_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Berlin,2 K 176.14,18.06.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Der Deutsche Bundestag muss Auskunft über die Zahl der an Verbandsvertreter ausgestellten Hausausweise sowie über die Namen der Verbände geben. Bei der Ausstellung von Hausausweisen handelt es sich um eine Verwaltungsaufgabe (Ausübung des Hausrechts), die dem Anwendungsbereich des Informationsfreiheitsgesetzes unterfällt. Die Freiheit des Abgeordnetenmandats ist nicht betroffen; insbesondere lassen die Zahl und die Namen der Verbände keine Rückschlüsse auf die Parlamentarischen Geschäftsführer zu, welche für ihre Fraktionen die Anträge auf Hausausweise zeichnen. Auch der Schutz personenbezogener Daten kommt nicht zum Tragen, da durch diese Informationen keine Rückschlüsse auf das Verhalten natürlicher Personen möglich sind.","Anwendungsbereich/Zuständigkeit, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_K_176_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Hamburg,3 Bf 275/13,23.06.2015,Urteil,Transparenzgesetz (Hamburg),"Das Oberverwaltungsgericht bestätigt die Auffassung der Vorinstanz, nach der ein Antrag des Insolvenzverwalters auf Einsicht in die Vollstreckungsakte der Insolvenzschuldnerin abzulehnen ist. Es verweist auf die Begründung des Verwaltungsgerichts, das die Vollstreckungsakte als Vorgang der Steuerfestsetzung und Steuererhebung im Sinne einer entsprechenden Ausnahmevorschrift des Hamburgischen Transparenzgesetzes eingestuft hatte. Das Oberverwaltungsgericht weist die Berufung zurück.","Prozessuales, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/OVG_HH_3_Bf_275_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Hamburg,3 Bf 274/13,23.06.2015,Urteil,Transparenzgesetz (Hamburg),"Das Oberverwaltungsgericht bestätigt die Auffassung der Vorinstanz, nach der ein Antrag des Insolvenzverwalters auf Herausgabe der Kontoauszüge der Insolvenzschuldnerin abzulehnen ist. Es verweist auf die Begründung des Verwaltungsgerichts, das die Kontoauszüge als Vorgänge der Steuerfestsetzung und Steuererhebung im Sinne einer entsprechenden Ausnahmevorschrift des Hamburgischen Transparenzgesetzes eingestuft hatte. Das Oberverwaltungsgericht weist die Berufung zurück.",Schutz besonderer Verfahren,http://www.lda.brandenburg.de/media_fast/5955/OVG_HH_3_Bf_274_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Bundesverwaltungsgericht,7 C 2.14,25.06.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Der Deutsche Bundestag ist eine informationspflichtige Stelle, soweit es um Gutachten der Wissenschaftlichen Dienste geht. Bei der Erstellung von Gutachten handelt es sich um der Mandatausübung vorgelagerte Verwaltungsaufgaben. Die Tatsache, dass Abgeordnete diese Unterlagen für ihre parlamentarische Tätigkeit nutzen, steht dem nicht entgegen. Zudem enthält das Urteil ausführliche Darlegungen zum Urheberrecht. Es ist davon auszugehen, dass ein Beamter, der in Erfüllung seiner Dienstpflichten ein Werk geschaffen hat, seinem Dienstherrn stillschweigend sämtliche Nutzungsrechte einräumt, die dieser zur Erfüllung seiner Aufgabe benötigt. Dazu gehört auch die Gewährung von Informationszugangsansprüchen. Ein genereller Vorrang eines der Behörde zugewiesenen Urheberrechts folgt aus dem entsprechenden Ausnahmetatbestand des Informationsfreiheitsgesetzes somit nicht; das Veröffentlichungsrecht kann dem Informationsbegehren in diesem Fall nicht entgegengehalten werden. Das Gerichtet deutet aber an, dass die nutzungsberechtigte Behörde insbesondere im Falle wirtschaftlicher Verwertungsmöglichkeiten ein anerkennenswertes Interesse am Urheberrechtsschutz haben könnte. Bei der strittigen Unterlage handelte es sich um die Ausarbeitung ""Die Suche nach außerirdischem Leben und die Umsetzung der VN-Resolution A/33/426 zur Beobachtung unidentifizierter Flugobjekte und extraterrestrischer Lebensformen"".","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Interessenabwägung, Urheberrecht, Veröffentlichung von Informationen",http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_C_2_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Bundesverwaltungsgericht,7 C 1.14,25.06.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Der Deutsche Bundestag ist eine informationspflichtige Stelle, soweit es um Gutachten oder sonstige Zuarbeiten der Wissenschaftlichen Dienste sowie des Sprachendienstes geht. Bei der Erstellung von Gutachten und Übersetzungen handelt es sich um der Mandatausübung vorgelagerte Verwaltungsaufgaben. Die Tatsache, dass Abgeordnete diese Unterlagen für ihre parlamentarische Tätigkeit nutzen, steht dem nicht entgegen. Zudem enthält das Urteil ausführliche Darlegungen zum Urheberrecht. Es ist davon auszugehen, dass ein Beamter, der in Erfüllung seiner Dienstpflichten ein Werk geschaffen hat, seinem Dienstherrn stillschweigend sämtliche Nutzungsrechte einräumt, die dieser zur Erfüllung seiner Aufgabe benötigt. Dazu gehört auch die Gewährung von Informationszugangsansprüchen. Ein genereller Vorrang eines der Behörde zugewiesenen Urheberrechts folgt aus dem entsprechenden Ausnahmetatbestand des Informationsfreiheitsgesetzes somit nicht; das Veröffentlichungsrecht kann dem Informationsbegehren in diesem Fall nicht entgegengehalten werden. Das Gerichtet deutet aber an, dass die nutzungsberechtigte Behörde insbesondere im Falle wirtschaftlicher Verwertungsmöglichkeiten ein anerkennenswertes Interesse am Urheberrechtsschutz haben könnte. Die strittigen Unterlagen wurden für den früheren Bundestagsabgeordneten Karl-Theodor zu Guttenberg angefertigt und von diesem für seine Dissertation verwendet.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Interessenabwägung, Urheberrecht, Veröffentlichung von Informationen",http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_C_1_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgerichtshof Hessen,6 A 1098113,30.06.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Die Anwendung des Bundestatistikgesetzes - und damit auch das Statistikgeheimnis - findet auf den in Rede stehenden Vorgang zu den Ergebnissen der für die Monopolkommission durchgeführten Vergleichsberechnungen Anwendung. Die Schutzwirkung tritt unter anderem deshalb ein, weil die zugekauften Datensätze aus privaten Beständen mit den eigenen amtlichen Unterlagen und Daten der Behörde zusammengeführt werden. Der Ausnahmetatbestand des Informationsfreiheitsgesetzes zum Schutz besonderer Amtsgeheimnisse ist damit erfüllt. Das Urteil setzt sich im Zusammenhang mit dem Statistikgeheimnis auch mit der Bestimmung des Begriffs der ""statistischen Einzeldaten"" in Abgrenzung von dem ""statistischen Ergebnis"" auseinander. Der Verwaltungsgerichtshof ändert das Urteil der ersten Instanz, die einen Zugangsanspruch noch bejaht hatte.","(Gesetzliche) Geheimhaltungspflichten, Begriffsbestimmung, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/VGH_HE_6_A_1098113.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Hamburg,17 K 3203/13,05.08.2015,Urteil,Transparenzgesetz (Hamburg),"Das Verwaltungsgericht verpflichtet die beklagte Körperschaft des öffentlichen Rechts, ein von ihr in Auftrag gegebenes Rechtsgutachten zum Einsatz eines EDV-Programms herauszugeben. Der Ausnahmetatbestand des Hamburgischen Transparenzgesetzes für Unterlagen im Zusammenhang mit der Geltendmachung oder Abwehr von Ansprüchen setzt voraus, dass parallel zum Informationsbegehren überhaupt eine entsprechende Auseinandersetzung geführt wird. Dies ist vorliegend nicht der Fall. Weder stehen personalvertretungsrechtliche Regelungen zur Mitbestimmung der Herausgabe entgegen noch stellt die spezialgesetzlich geregelte Verschwiegenheitspflicht für die Mitglieder eines Organs der beklagten Körperschaft ein Verbot der Informationsweitergabe dar. Das Gericht geht nicht von dem Vorliegen eines Betriebs- und Geschäftsgeheimnisses aus und stellt fest, dass zudem die nach dem Hamburgischen Transparenzgesetz vorzunehmende Abwägung zugunsten des Informationsinteresses ausgehen würde.","(Gesetzliche) Geheimhaltungspflichten, Betriebs- und Geschäftsgeheimnisse, Interessenabwägung, Konkurrierende Rechtsvorschriften, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/VG_Hamburg_17_K_3203_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Minden,7 K 2267/13,05.08.2015,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Der Kläger war von der beklagten Justizvollzugsanstalt im Rahmen des sogenannten ""unechten Freigangs"" in einem freien Unternehmen eingesetzt worden. Er interessierte sich für die Höhe der Zahlungen, die das Unternehmen für seine Arbeit an die Justizvollzugsanstalt entrichtet hat. Im Ergebnis verpflichtet das Verwaltungsgericht den Beklagten unter teilweise Aufhebung des Ablehnungsbescheids, dem Kläger Auskunft über die nach Monaten aufgeschlüsselten Zahlungen zu erteilen. Aus der Urteilsbegründung ergeben sich Klärungen der Begriffe der Verwaltungstätigkeit und der ""vorhandenen"" Informationen. Das Gericht erkennt keine Beeinträchtigung der öffentlichen Sicherheit und Ordnung; außerdem geht es nicht davon aus, dass die Informationserteilung einen unzumutbaren Verwaltungsaufwand darstellt. Orientiert sich die Vergütung der Gefangenen nach geltenden Tarifverträgen, kann die Offenlegung der Zahlungen einen Wettbewerbsnachteil für das Unternehmen nicht begründen; ein Betriebs- und Geschäftsgeheimnis liegt mithin nicht vor. Die Regelung des Strafvollzugsgesetzes Nordrhein-Westfalen über Auskünfte an Betroffene weist keinen mit dem Informationsfreiheitsgesetz identischen Regelungsinhalt auf und schließt somit eine Einsicht auf der Grundlage des Informationsfreiheitsgesetzes nicht aus.","Betriebs- und Geschäftsgeheimnisse, Konkurrierende Rechtsvorschriften, Sicherheitsaspekte, Strafverfolgung",http://www.lda.brandenburg.de/media_fast/5955/VG_Minden_7_K_2267_13_.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Nordrhein-Westfalen,8 A 2410/13,10.08.2015,Urteil,Informationsfreiheitsgesetz (Bund),"Während die Vorinstanz die personenbezogenen Teile eines Gutachtens zur Bewertung der Ehrwürdigkeit ehemaliger Mitarbeiter eines Bundesministeriums im Hinblick auf die Zeit des Nationalsozialismus für weitgehend schutzbedürftig hielt, unterscheidet das Oberverwaltungsgericht im Wesentlichen zwischen den - vorbehaltlich einer Einwilligung schutzwürdigen - Daten noch lebender, früherer Bediensteter einerseits und solchen, die sich auf bereits Verstorbene beziehen, andererseits. Grundsätzlich greift der Datenschutz für Informationen über Verstorbene nicht durch, soweit der Zeitpunkt des Todes mindestens drei Jahre zurückliegt.  Informationen über Verstorbene, die im Schlussbericht als ""deutlich kritikwürdig"" oder ""nicht ehrwürdig"" bezeichnet werden, sind herauszugeben. Das Urteil enthält ausführliche Erläuterungen zum Umgang mit dem Ausnahmetatbestand des Informationsfreiheitsgesetzes bezüglich  personenbezogener Daten, die mit einem Dienst- oder Amtsverhältnis in Zusammenhang stehen (materielle Personalakten). Auch werden presserechtliche Aspekte erörtert.","(Gesetzliche) Geheimhaltungspflichten, Drittbetroffenheit, Interessenabwägung, Konkurrierende Rechtsvorschriften, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_8_A_2410_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Verwaltungsgericht Hamburg,17 K 2974/14,12.08.2015,Urteil,Transparenzgesetz (Hamburg),"Das Verwaltungsgericht Hamburg hebt einen Gebührenbescheid der Kassenärztlichen Vereinigung auf. Bei der Festsetzung der Kostenhöhe wurde das gebührenrechtliche Äquivalenzprinzip, nach der die Höhe der Gebühr nicht in einem Missverhältnis zur Bedeutung, dem wirtschaftlichen Wert oder dem sonstigen Nutzung der Amtshandlung für den Gebührenpflichtigen stehen darf, nicht ausreichend beachtet. Die Beklagte hat in ihrem Bescheid die Vorschriften des Gebührengesetzes, aus denen sich die Grenzen ihres Ermessens ergeben, weder ausdrücklich benannt oder konkludent angewendet. Das Gericht rechnet aus, dass die tatsächlichen Personalkosten, deren Geltendmachung eine Kostendeckung ergeben würden, bereits geringer sind als die im Bescheid veranschlagten Kosten. Zudem zweifelt es daran, dass die angefallene Arbeitszeit in voller Höhe angesetzt werden darf.",Kosten,http://www.lda.brandenburg.de/media_fast/5955/VG_Hamburg_17_K_2974_14.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Nordrhein-Westfalen,15 A 2856/12,18.08.2015,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Anders als das Verwaltungsgericht, das der Auffassung war, durch die Bekanntgabe der Art und Weise der Rückgabe einbehaltener Gegenstände infolge allgemeiner Zutrittskontrolle zu einem Justizgebäude würden keine Sicherheitslücken offenbart, kommt das Oberverwaltungsgericht zu einem gegenteiligen Ergebnis: Danach ist es plausibel, dass ein Bekanntwerden der Gesamtheit der Rückgabemodalitäten ohne Weiteres dazu führen würde, dass die Vorkehrungen umgangen oder jedenfalls in ihrer Effektivität beeinträchtigt würden. Die Absichten, die der Kläger selbst mit seinem Informationsantrag verfolgt, sind für die Gefahreneinschätzung unerheblich. Das Oberverwaltungsgericht ändert teilweise das angefochtene Urteil der Vorinstanz.",Sicherheitsaspekte,http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_15_A_2856_12.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
Oberverwaltungsgericht Nordrhein-Westfalen,15 A 97/13,18.08.2015,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),"Das Oberverwaltungsgericht bestätigt die Entscheidung der Vorinstanz, nach der ein Kooperationsvertrag zwischen einer Universität und einem Unternehmen der Pharma-Industrie dem Bereich von Forschung und Lehre zuzuordnen ist und daher nicht dem Anwendungsbereich des Informationsfreiheitsgesetzes Nordrhein-Westfalen unterfällt. Diese Bereichsausnahme ist deckungsgleich mit dem Grundrecht der Wissenschaftsfreiheit und verstößt nicht gegen das Grundrecht, sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten und auch nicht gegen das Demokratieprinzip und den Gleichheitsgrundsatz. Der Rahmenvertrag regelt Forschungs- und Lehrangelegenheiten jedenfalls in Gestalt von unmittelbar wissenschaftsrelevanten Angelegenheiten. Einzelne Passagen der Vereinbarung enthalten zudem Betriebs- und Geschäftsgeheimnisse, weil sich daraus für Wettbewerber Rückschlüsse auf Marktstrategie und künftige Forschungsprojekte ziehen lassen. Außerdem ließe sich anhand der individuell ausgehandelten Vertragskonditionen erkennen, unter welchen Bedingungen das Unternehmen bereit ist, eine Kooperation mit einer Universität einzugehen. Dass aus dem Bekanntwerden ein nicht geringfügiger wirtschaftlicher Nachteil entstünde, ist nachvollziehbar.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Betriebs- und Geschäftsgeheimnisse",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_15_A_97_13.pdf,2,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=20
